abbreviation;name
A;Ahorro en cuenta
AP;Ahorro en cuenta previsto
G;Gasto
GP;Gasto previsto
TAE-X%;Tasa Anual Equivalente del X%
TAE-X%-P;Tasa Anual Equivalente del X% previsto
TAE-4%;Tasa Anual Equivalente del 4%
TAE-4%-P;Tasa Anual Equivalente del 4% previsto
TAE-3,875%;Tasa Anual Equivalente del 3,875%
TAE-3,875%-P;Tasa Anual Equivalente del 3,875% previsto
TAE-3,75%;Tasa Anual Equivalente del 3,75%
TAE-3,75%-P;Tasa Anual Equivalente del 3,75% previsto
ACC-LP;Acciones a Largo Plazo
ACC-LP-P;Acciones a Largo Plazo previsto
ACC-CP;Acciones a Corto Plazo
ACC-CP-P;Acciones a Corto Plazo previsto
ETF-LP;ETF a Largo Plazo
ETF-LP-P;ETF a Largo Plazo previsto
ETF-CP;ETF a Corto Plazo
ETF-CP-P;ETF a Corto Plazo previsto
